SampleID	Cancer	Groups	EXTENDScores
TCGA-66-2778-01	LUSC	TERT expr	0.493650891
TCGA-66-2780-01	LUSC	TERT expr	0.505640071
TCGA-66-2781-01	LUSC	TERT expr	0.445735173
TCGA-66-2782-01	LUSC	TERT expr	0.429027175
TCGA-66-2783-01	LUSC	TERT expr	0.39986823
TCGA-66-2785-01	LUSC	TERT expr	0.538724277
TCGA-66-2786-01	LUSC	TERT expr	0.457826096
TCGA-66-2787-01	LUSC	TERT expr	0.503761549
TCGA-66-2788-01	LUSC	TERT expr	0.411034258
TCGA-66-2789-01	LUSC	TERT expr	0.305408363
TCGA-66-2791-01	LUSC	TERT expr	0.443678795
TCGA-66-2792-01	LUSC	TERT expr	0.593571547
TCGA-66-2793-01	LUSC	TERT expr	0.56119409
TCGA-66-2794-01	LUSC	TERT expr	0.565502551
TCGA-66-2795-01	LUSC	TERT expr	0.486833517
TCGA-66-2800-01	LUSC	TERT expr	0.505701621
TCGA-67-3771-01	LUAD	TERT expr	0.32387745
TCGA-67-3773-01	LUAD	TERT expr	0.46177744
TCGA-67-3774-01	LUAD	TERT expr	0.266778551
TCGA-67-4679-01	LUAD	TERT expr	0.317966725
TCGA-67-6215-01	LUAD	TERT expr	0.40649488
TCGA-67-6216-01	LUAD	TERT expr	0.366693929
TCGA-67-6217-01	LUAD	TERT expr	0.227110258
TCGA-69-7760-01	LUAD	TERT expr	0.446614858
TCGA-69-7763-01	LUAD	TERT expr	0.274637906
TCGA-69-7764-01	LUAD	TERT expr	0.448910847
TCGA-69-7765-01	LUAD	TERT expr	0.313403764
TCGA-69-7973-01	LUAD	TERT expr	0.524303227
TCGA-69-7974-01	LUAD	TERT expr	0.40636176
TCGA-69-7978-01	LUAD	TERT expr	0.326965541
TCGA-69-7979-01	LUAD	TERT expr	0.485336864
TCGA-69-7980-01	LUAD	TERT expr	0.305432911
TCGA-69-8254-01	LUAD	TERT expr	0.237952622
TCGA-69-8255-01	LUAD	TERT expr	0.75580665
TCGA-69-A59K-01	LUAD	TERT expr	0.364994534
TCGA-70-6722-01	LUSC	TERT expr	0.463045017
TCGA-70-6723-01	LUSC	TERT expr	0.603209992
TCGA-71-6725-01	LUAD	TERT expr	0.447875506
TCGA-73-4658-01	LUAD	TERT expr	0.275051954
TCGA-73-4659-01	LUAD	TERT expr	0.414515298
TCGA-73-4662-01	LUAD	TERT expr	0.337317897
TCGA-73-4666-01	LUAD	TERT expr	0.569549211
TCGA-73-4668-01	LUAD	TERT expr	0.432427997
TCGA-73-4675-01	LUAD	TERT expr	0.315024255
TCGA-73-7498-01	LUAD	TERT expr	0.25029548
TCGA-73-7499-01	LUAD	TERT expr	0.400257758
TCGA-75-5122-01	LUAD	TERT expr	0.355066377
