SampleID	EXTENDScores	TERT_log2Intensity	Mechanism
GSM3403004	0.412161146	8.150665536	NO_TMM
GSM3403006	0.214991292	7.806811733	NO_TMM
GSM3403008	0.429789279	8.113721935	NO_TMM
GSM3403010	0.593664008	8.328227352	NO_TMM
GSM3403013	0.355150562	8.28320128	NO_TMM
GSM3403016	0.226058171	7.774466353	NO_TMM
GSM3403018	0.321669857	7.419002562	NO_TMM
GSM3403019	0	7.259791501	NO_TMM
GSM3403021	0.304221917	8.532482273	NO_TMM
GSM3403022	0.399260661	7.291965647	NO_TMM
GSM3403024	0.449409686	8.60601137	NO_TMM
GSM3403029	0.353954604	7.887075	NO_TMM
GSM3403030	0.375018579	7.595902721	NO_TMM
GSM3403031	0.322788381	7.776100214	NO_TMM
GSM3403034	0.103148823	8.074681044	NO_TMM
GSM3403036	0.405981961	7.413662271	NO_TMM
GSM3403037	0.459685593	7.600357856	NO_TMM
GSM3403038	0.223585457	7.932581505	NO_TMM
GSM3403039	0.349380928	6.817872864	NO_TMM
GSM3403040	0.12548531	7.998173933	NO_TMM
GSM3403042	0.18922108	8.247543	NO_TMM
GSM3403043	0.326523388	7.22740093	NO_TMM
GSM3403044	0.345207217	8.173489	NO_TMM
GSM3403045	0.439619773	7.960842364	NO_TMM
GSM3403048	0.267879319	7.674404337	NO_TMM
GSM3403050	0.315685594	7.636843	NO_TMM
GSM3403056	0.191362718	7.728995485	NO_TMM
GSM3403057	0.424191875	7.448992146	NO_TMM
GSM3403058	0.226998634	7.763789695	NO_TMM
GSM3403066	0.23848338	9.06719033	NO_TMM
GSM3403067	0.355738272	8.145243	NO_TMM
GSM3403070	0.421820637	7.828711	NO_TMM
GSM3403071	0.11464189	7.819602	NO_TMM
GSM3403072	0.522010468	8.40095	NO_TMM
GSM3403073	0.438781817	8.097513494	NO_TMM
GSM3403074	0.463303381	8.264962	NO_TMM
GSM3403075	0.373314349	6.968103	NO_TMM
GSM3403077	0.540562135	8.285616273	NO_TMM
GSM3403078	0.25569877	8.157549	NO_TMM
GSM3403079	0.204477959	7.092873653	NO_TMM
GSM3403080	0.459528653	8.001375669	NO_TMM
GSM3403081	0.550399283	8.149643	NO_TMM
GSM3403082	0.327228754	7.927395	NO_TMM
GSM3403083	0.459296018	7.599761747	NO_TMM
GSM3403087	0.052858799	7.566343	NO_TMM
GSM3403088	0.301138979	8.335199	NO_TMM
GSM3403089	0.371095961	8.194192	NO_TMM
GSM3403091	0.131054452	7.78267	NO_TMM
GSM3403092	0.267992609	7.891055	NO_TMM
GSM3403093	0.336527002	8.355803	NO_TMM
GSM3403094	0.4282482	7.917889	NO_TMM
GSM3403095	0.359603408	8.147208	NO_TMM
GSM3403097	0.469338292	8.19985	NO_TMM
GSM3403098	0.280185153	8.269686	NO_TMM
GSM3403099	0.559455473	8.9684299	NO_TMM
GSM3403100	0.530447162	8.070379	NO_TMM
GSM3403102	0.424824945	8.361959633	NO_TMM
GSM3403107	0.368355863	8.037247	NO_TMM
GSM3403109	0.36843558	8.193995371	NO_TMM
GSM3403110	0.418394624	7.764855	NO_TMM
GSM3403111	0.355286299	8.093968363	NO_TMM
GSM3403114	0.197479266	7.10389064	NO_TMM
GSM3403115	0.235064172	8.079322	NO_TMM
GSM3403116	0.464232247	8.340561	NO_TMM
GSM3403122	0.319501616	8.507229	NO_TMM
GSM3403123	0.389156634	8.603083576	NO_TMM
GSM3403125	0.263018489	8.76031	NO_TMM
GSM3403128	0.3246209	7.935647	NO_TMM
GSM3403129	0.290702678	9.061879303	NO_TMM
GSM3403131	0.169119063	8.575547255	NO_TMM
GSM3403133	0.301283668	7.963889	NO_TMM
GSM3403134	0.198234667	7.789301	NO_TMM
GSM3403137	0.449926825	8.02695	NO_TMM
GSM3403139	0.455691876	7.943909	NO_TMM
GSM3403156	0.145794219	7.525047934	NO_TMM
GSM3403157	0.171976381	7.784079154	NO_TMM
GSM3403162	0.534781994	8.293092396	NO_TMM
GSM3403169	0.376070181	8.135296691	NO_TMM
GSM3403174	0.406301387	8.684208697	NO_TMM
GSM3403178	0.374491498	7.477311786	NO_TMM
GSM3403179	0.34748124	8.372004512	NO_TMM
GSM3402976	0.454693624	8.343521139	ALT
GSM3402977	0.383938893	8.658537658	ALT
GSM3402979	0.320681813	8.942782697	ALT
GSM3402982	0.326588047	9.70946307	ALT
GSM3402984	0.418624975	7.978020386	ALT
GSM3403000	0.399016309	9.207202096	ALT
GSM3403026	0.35644727	7.962231762	ALT
GSM3403032	0.385887896	8.6720526	ALT
