SampleID	Stemness	NormEXTENDScores	Phase
HN26_P25_B03_S111_comb	0.577049868514424	0.529753424646197	NonCycling
HN26_P25_B05_S113_comb	0.592537421297741	0.370188160083691	NonCycling
HN26_P25_B07_S115_comb	0.635408646485449	0.234860490058935	NonCycling
HN26_P25_B08_S116_comb	0.518704977664105	0.495706095919397	NonCycling
HN26_P25_B10_S118_comb	0.494673045885746	0.217332249493822	NonCycling
HN26_P25_C02_S122_comb	0.641914504185869	0.329703497411618	NonCycling
HN26_P25_C04_S124_comb	0.513526270565703	0.221249513463866	NonCycling
HN26_P25_C07_S127_comb	0.642831813175437	0.317485759169942	NonCycling
HN26_P25_C09_S129_comb	0.571159564675526	0.483978844352214	NonCycling
HN26_P25_C12_S132_comb	0.639326472997076	0.351160220174746	NonCycling
HN26_P25_D02_S134_comb	0.575629636214077	0.34985597864821	NonCycling
HN26_P25_D05_S137_comb	0.546936009883142	0.342390019168966	NonCycling
HN26_P25_D08_S140_comb	0.602297054701385	0.182158052764354	NonCycling
HN26_P25_E02_S146_comb	0.66298702407668	0.205344006901139	NonCycling
HN26_P25_E03_S147_comb	0.578194747672033	0.369355122040615	NonCycling
HN26_P25_E04_S148_comb	0.63117546694501	0.268603578790884	NonCycling
HN26_P25_F02_S158_comb	0.612634721442784	0.20939810961578	NonCycling
HN26_P25_F05_S161_comb	0.750393646944881	0.447962317523464	G2_M
HN26_P25_F10_S166_comb	0.574786711612399	0.432435403597464	NonCycling
HN26_P25_G03_S171_comb	0.595635400739339	0.35257304160772	NonCycling
HN26_P25_G05_S173_comb	0.556866757186283	0.296146067613928	NonCycling
HN26_P25_G08_S176_comb	0.55543244365072	0.605830625251049	NonCycling
HN26_P25_H01_S181_comb	0.785182233150443	0.734807904488559	G1_S
HN26_P25_H05_S185_comb	0.629476660051372	0.200381641524791	G2_M
HN26_P25_H06_S186_comb	0.602888212325633	0.316208432403129	NonCycling
HN26_P25_H09_S189_comb	0.548814501004272	0.222531462894553	NonCycling
HN26_P26_A10_S298_comb	0.631457865097712	0.0379853706492527	NonCycling
HN26_P26_A12_S300_comb	0.624347042509562	0.464618772280124	NonCycling
HN26_P26_B01_S301_comb	0.657119737684897	0.455101122619828	NonCycling
HN26_P26_B02_S302_comb	0.711330467708954	0.528144578317387	G2_M
HN26_P26_B07_S307_comb	0.611194141078797	0.349421891829801	NonCycling
HN26_P26_B08_S308_comb	0.59514018197097	0.19075188039088	NonCycling
HN26_P26_B09_S309_comb	0.599519957466046	0.46303209855704	NonCycling
HN26_P26_B12_S312_comb	0.55802070157626	0.489671298338127	NonCycling
HN26_P26_C05_S317_comb	0.5367215474998	0.253019073461544	NonCycling
HN26_P26_D07_S331_comb	0.718637039263092	0.405749750200698	G2_M
HN26_P26_D12_S336_comb	0.509708981448699	0.393044350615294	NonCycling
HN26_P26_E08_S344_comb	0.614455409307733	0.324335106465272	NonCycling
HN26_P26_E10_S346_comb	0.547287897540962	0.153375348337441	NonCycling
HN26_P26_F02_S350_comb	0.545498022301423	0.324918507885618	NonCycling
HN26_P26_F04_S352_comb	0.638384396607875	0.477637743444638	NonCycling
HN26_P26_F06_S354_comb	0.68389215290814	0.420975377658878	NonCycling
HN26_P26_G04_S364_comb	0.551408274163165	0.203175546201764	NonCycling
HN26_P26_G09_S369_comb	0.536695906149267	0.294381258067777	NonCycling
HN26_P26_H05_S377_comb	0.683063294523187	0.433233377302724	NonCycling
HN26_P26_H09_S381_comb	0.53279305307684	0.355676614645502	NonCycling
HN26_P26_H11_S383_comb	0.615741141216321	0.558406958948833	NonCycling
HN26_P5_A07_S7_comb	0.81201850071899	0.547659157074513	G1_S
HN26_P5_A09_S9_comb	0.556429643991874	0.419922978270082	NonCycling
HN26_P5_D01_S37_comb	0.56344670957575	0.276459411548868	NonCycling
HN26_P5_D09_S45_comb	0.473594100049504	0.258161012538809	NonCycling
HN26_P5_E06_S54_comb	0.715770149868841	0.491065045516535	G2_M
HN26_P5_F02_S62_comb	0.628623309292965	0.299268791336014	G2_M
HN26_P5_G06_S78_comb	0.723432862985738	0.475123100001332	NonCycling
HN26_P5_H08_S92_comb	0.849322135384462	0.489481870347979	G2_M
HN26_P5_H10_S94_comb	0.429490313667368	0.213277369436786	NonCycling
HN26_P6_A04_S4_comb	0.5558554635695	0.336426071528731	NonCycling
HN26_P6_A09_S9_comb	0.618745598144198	0.402610237194479	G2_M
HN26_P6_B04_S16_comb	0.616844753448202	0.412678387226875	NonCycling
HN26_P6_B05_S17_comb	0.745536679275403	0.363575225748487	G2_M
HN26_P6_B08_S20_comb	0.60616789024246	0.28297490026137	NonCycling
HN26_P6_C06_S30_comb	0.59556369091444	0.387232536734857	NonCycling
HN26_P6_D05_S41_comb	0.56256007213387	0.195660380866039	NonCycling
HN26_P6_D08_S44_comb	0.48865252937378	0.204391728453663	NonCycling
HN26_P6_E03_S51_comb	0.633825267931049	0.461471737161805	NonCycling
HN26_P6_G01_S73_comb	0.534814908846437	0.34337963957434	NonCycling
HN26_P6_G07_S79_comb	0.469973296515514	0.34201997662779	NonCycling
HN26_P6_H04_S88_comb	0.363969087024792	0.291720818423161	NonCycling
HN26_P6_H06_S90_comb	0.645072498179277	0.393240272199036	G1_S
HN28_P14_A05_S101_comb	0.514517635345919	0.204349067258101	NonCycling
HN28_P14_C10_S130_comb	0.469346557331378	0.468962164728979	NonCycling
HN28_P14_D07_S139_comb	0.797541380626542	0.541058998485199	G2_M
HN28_P14_G02_S170_comb	0.564408522628965	0.194354595837281	NonCycling
HN28_P14_H12_S192_comb	0.651638932797124	0.46126001958064	NonCycling
HN28_P15_B02_S302_comb	0.744359372712319	0.509311055539775	G1_S
HN28_P15_C02_S314_comb	0.795626734300804	0.346675977262882	G2_M
HN28_P15_D05_S329_comb	0.760793817593317	0.516962209516036	G1_S
HN28_P15_D08_S332_comb	0.603791573692627	0.549195746955606	G1_S
HN28_P15_D10_S334_comb	0.447613020923555	0.170910864013263	NonCycling
HN28_P15_D12_S336_comb	0.674887894240224	0.430130200279386	G1_S
HN28_P15_E01_S337_comb	0.568005067494795	0.362835121640774	NonCycling
HN28_P15_E02_S338_comb	0.649147439049775	0.469003638716154	G2_M
HN28_P15_F09_S357_comb	0.672355006431351	0.324011073633634	G2_M
HN28_P3P4_A06_S6_comb	0.71112318975925	0.353673869510602	NonCycling
HN28_P3P4_A09_S9_comb	0.621492851255295	0.302219150878222	G2_M
HN28_P3P4_D01_S37_comb	0.618468750133426	0.141547939462307	NonCycling
HN28_P3P4_D07_S43_comb	0.714719014996209	0.32783450233278	G2_M
HN28_P3P4_H01_S85_comb	0.773109674523221	0.546190524215837	G2_M
HN28_P3P4_H04_S88_comb	0.639335705652668	0.231590755059908	NonCycling
HN28_P5_B09_S213_comb	0.553679638494679	0.507452932236049	NonCycling
HN28_P5_E07_S247_comb	0.660871569478693	0.224086096691873	NonCycling
HN28_P5_F10_S262_comb	0.636428146511773	0.12304463621353	NonCycling
HN28_P5_F11_S263_comb	0.695735117913653	0.68118963020381	G2_M
HN28_P5_F12_S264_comb	0.667816118183568	0.262546459576631	NonCycling
HN28_P5_G05_S269_comb	0.627028865979153	0.243460713319124	NonCycling
HN28_P5_H02_S278_comb	0.687486322320646	0.306244584053767	NonCycling
HN28_P6_H09_S189_comb	0.54098754458036	0.184147483969567	NonCycling
HNSCC_combo1_HNSCC_ComboP1_B03	0.777388063709557	0.607820685770494	G1_S
HNSCC_combo1_HNSCC_ComboP1_C04	0.400207346634867	0.137446451588523	NonCycling
HNSCC_combo1_HNSCC_ComboP1_C06	0.698606817812006	0.384826326839712	G2_M
HNSCC_combo1_HNSCC_ComboP1_D03	0.483377800287011	0.146674799304538	NonCycling
HNSCC_combo1_HNSCC_ComboP1_D06	0.414759444570908	0.190299715780244	NonCycling
HNSCC_combo1_HNSCC_ComboP1_D08	0.487128075161026	0.368080670508652	NonCycling
HNSCC_combo1_HNSCC_ComboP1_E08	0.557793591378803	0.419417616958153	NonCycling
HNSCC_combo1_HNSCC_ComboP1_F04	0.330943266977092	0.234445480164073	NonCycling
HNSCC_combo1_HNSCC_ComboP1_G04	0.413271833773678	0.299946507479288	NonCycling
HNSCC12_p11_HNSCC12_P11_F12	0.889759401115463	0.723648512995927	G1_S
HNSCC12_p11_HNSCC12_P11_H12	0.505637147844036	0.306772649832369	NonCycling
HNSCC13_p1_HNSCC13_P1_B02	0.702729133862448	0.222401268440694	G2_M
HNSCC13_p1_HNSCC13_P1_B12	0.396844988869798	0.125235203600665	NonCycling
HNSCC13_p1_HNSCC13_P1_D11	0.686249863374191	0.595176971566984	G1_S
HNSCC13_p19_HNSCC13_P19_E06	0.735989794470426	0.564940606043818	G2_M
HNSCC16_P2_E06_S54_comb	0.512542576236048	0.27742199853934	NonCycling
HNSCC16_P2_E11_S59_comb	0.448533546464482	0.277549548731656	NonCycling
HNSCC16_P4_HNSCC16_P4_A11	0.639036538805337	0.200036880958922	G2_M
HNSCC16_P4_HNSCC16_P4_C12	0.537813720240242	0.428935975523843	NonCycling
HNSCC16_P4_HNSCC16_P4_D06	0.458070096570821	0.329055607807898	NonCycling
HNSCC16_P4_HNSCC16_P4_D12	0.679883603262026	0.639452031573969	G2_M
HNSCC16_P4_HNSCC16_P4_F01	0.411623195100302	0.29688679586206	NonCycling
HNSCC16_P4_HNSCC16_P4_F04	0.61404675874882	0.19573216752435	NonCycling
HNSCC16_P4_HNSCC16_P4_F06	0.365303751755103	0.131853513578817	NonCycling
HNSCC16_P4_HNSCC16_P4_F09	0.488186897120245	0.241199796973177	NonCycling
HNSCC16_P5_HNSCC16_P5_A01	0.442543465419325	0.294828871106317	NonCycling
HNSCC16_P5_HNSCC16_P5_A04	0.477224385310714	0.267869216803431	NonCycling
HNSCC16_P5_HNSCC16_P5_A08	0.541677573325659	0.201578807433151	NonCycling
HNSCC16_P5_HNSCC16_P5_B04	0.610868244981467	0.344151203840969	NonCycling
HNSCC16_P5_HNSCC16_P5_B06	0.569089875525906	0.361268910488521	NonCycling
HNSCC16_P5_HNSCC16_P5_B11	0.503172359141819	0.278184983173284	NonCycling
HNSCC16_P5_HNSCC16_P5_C09	0.480039710522116	0.145183349168616	NonCycling
HNSCC16_P5_HNSCC16_P5_D01	0.656615828007253	0.523288802263486	G2_M
HNSCC16_P5_HNSCC16_P5_F04	0.488498681066535	0.178760837665696	NonCycling
HNSCC16_P5_HNSCC16_P5_H01	0.647587501377947	0.48374641105433	NonCycling
HNSCC16_P5_HNSCC16_P5_H05	0.517216955276445	0.0834745997948607	G2_M
HNSCC16_P5_HNSCC16_P5_H09	0.359772182207042	0.314224427073246	NonCycling
HNSCC16_P5_HNSCC16_P5_H12	0.317730989150645	0.188072507676163	NonCycling
HNSCC16_P7_HNSCC16_P7_A04	0.756699101295631	0.644511196067462	G1_S
HNSCC16_P7_HNSCC16_P7_A12	0.546808180771329	0.349095683006082	NonCycling
HNSCC16_P7_HNSCC16_P7_B02	0.374851676311654	0.349587850863336	NonCycling
HNSCC16_P7_HNSCC16_P7_B10	0.700267002216043	0.388085613781167	G2_M
HNSCC16_P7_HNSCC16_P7_C05	0.449713670602231	0.289183516242546	NonCycling
HNSCC16_P7_HNSCC16_P7_C12	0.572726984780497	0.372797960347046	NonCycling
HNSCC16_P7_HNSCC16_P7_D02	0.628500252799752	0.176224155122484	G2_M
HNSCC16_P7_HNSCC16_P7_D08	0.643403456964836	0.33074239643514	NonCycling
HNSCC16_P7_HNSCC16_P7_E05	0.46227781051497	0.271114830167385	NonCycling
HNSCC16_P7_HNSCC16_P7_E07	0.605737801731225	0.520400885421115	NonCycling
HNSCC16_P7_HNSCC16_P7_E09	0.664224671642185	0.538706933355338	G1_S
HNSCC16_P7_HNSCC16_P7_E10	0.79496521524673	0.686490153231582	G1_S
HNSCC16_P7_HNSCC16_P7_H01	0.453732067014392	0.337445511465812	NonCycling
HNSCC16_P7_HNSCC16_P7_H03	0.533461634118027	0.351327707024918	NonCycling
HNSCC16_P7_HNSCC16_P7_H04	0.401510813905693	0.236258294670917	NonCycling
HNSCC17_P1_HNSCC17_P1_A02	0.576840778256039	0.422582282608579	NonCycling
HNSCC17_P1_HNSCC17_P1_A03	0.412169381961639	0.215413302423129	NonCycling
HNSCC17_P1_HNSCC17_P1_A04	0.515005379163198	0.244402605288126	NonCycling
HNSCC17_P1_HNSCC17_P1_A05	0.47591800019284	0.208010686144312	NonCycling
HNSCC17_P1_HNSCC17_P1_A07	0.427771425130723	0.277721383555418	NonCycling
HNSCC17_P1_HNSCC17_P1_A10	0.635174633475126	0.24459659436305	G2_M
HNSCC17_P1_HNSCC17_P1_B01	0.546687971189832	0.2247111688542	NonCycling
HNSCC17_P1_HNSCC17_P1_B03	0.482133499224411	0.230335830366389	NonCycling
HNSCC17_P1_HNSCC17_P1_B04	0.580347621730935	0.238041794802998	NonCycling
HNSCC17_P1_HNSCC17_P1_B05	0.561019840003802	0.2320137117693	NonCycling
HNSCC17_P1_HNSCC17_P1_B07	0.437049287770228	0.263138750030891	NonCycling
HNSCC17_P1_HNSCC17_P1_B08	0.404300568606662	0.223208294893617	NonCycling
HNSCC17_P1_HNSCC17_P1_B10	0.720037139734787	0.570887066991187	G1_S
HNSCC17_P1_HNSCC17_P1_C01	0.478405478386272	0.207306470609415	NonCycling
HNSCC17_P1_HNSCC17_P1_C06	0.632045249858628	0.266933625177141	NonCycling
HNSCC17_P1_HNSCC17_P1_C07	0.464955810063068	0.241065733162815	NonCycling
HNSCC17_P1_HNSCC17_P1_C09	0.531566202616607	0.313643888870237	NonCycling
HNSCC17_P1_HNSCC17_P1_C10	0.636937664445517	0.564755224140527	G2_M
HNSCC17_P1_HNSCC17_P1_D04	0.687037934562237	0.283994846354487	NonCycling
HNSCC17_P1_HNSCC17_P1_D05	0.470862843571933	0.26221180295616	NonCycling
HNSCC17_P1_HNSCC17_P1_D06	0.589296708573339	0.339106157501913	NonCycling
HNSCC17_P1_HNSCC17_P1_D07	0.636582655570922	0.389709023662093	G2_M
HNSCC17_P1_HNSCC17_P1_D08	0.339089637640204	0.248857305028456	NonCycling
HNSCC17_P1_HNSCC17_P1_D09	0.560943901895029	0.505914816208207	NonCycling
HNSCC17_P1_HNSCC17_P1_D12	0.577244877541248	0.310142621908861	NonCycling
HNSCC17_P1_HNSCC17_P1_E01	0.382332533121657	0.196545163224415	NonCycling
HNSCC17_P1_HNSCC17_P1_E02	0.429533799190877	0.253119668338584	NonCycling
HNSCC17_P1_HNSCC17_P1_E04	0.587791149834279	0.299804910060165	G2_M
HNSCC17_P1_HNSCC17_P1_E05	0.393986692089174	0.145183349168616	NonCycling
HNSCC17_P1_HNSCC17_P1_E06	0.359332939538816	0.253232386447201	NonCycling
HNSCC17_P1_HNSCC17_P1_E07	0.460020817973825	0.154924382868854	NonCycling
HNSCC17_P1_HNSCC17_P1_E09	0.617657485505479	0.419954595299046	G2_M
